Id,HOMO-8,HOMO-7,HOMO-56,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,LUMO+6,LUMO+7,LUMO+8,color
O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,-12.48722773,-11.6057998,-11.3942149,-11.26085487,-10.78882303,-10.55737874,-10.26480176,-10.14123177,-10.11883666,-0.55775358,-0.385413413,-0.089900152,-0.071363735,0.985829416,2.014170584,2.070353125,3.338488055,3.482398856,0.172340167
c1cc2c3cccc4ccc5ccc(c1)c2c5c34,-16.47151367,-15.66799455,-15.25982956,-14.63261219,-13.41779334,-13.176853,-12.69343251,-10.31689041,-9.971901379,-0.369989673,-0.267690261,1.990724442,2.446931973,2.833348646,3.608680952,3.932722803,4.198645416,4.331685734,0.102299412
c1ccc2c(c1)c3cccc4ccc5cccc2c5c34,-13.71615836,-12.84008114,-12.56410388,-11.65993539,-11.3848291,-11.23755572,-10.94803262,-10.48496397,-10.20146042,-0.553920614,-0.149948735,1.03046896,1.967733993,3.45300298,3.461572949,3.767846446,4.082598038,4.138097041,0.403971879
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-13.41192078,-12.79930029,-12.69820626,-12.24715467,-11.96790304,-10.28568279,-10.13841676,-9.636548052,-8.438891196,-0.385207616,-0.273926641,-0.023604164,0.24612569,0.845799355,1.393994407,2.062661468,2.325173733,2.869050725,0.111280975
c1cc2ccc3ccc4ccc5ccc6ccc1c7c6c5c4c3c27,-11.86992536,-11.39157262,-11.29002289,-10.81316218,-10.67383036,-10.15620349,-10.10894004,-8.953908854,-8.206289299,-0.490002315,-0.23470764,-0.175713766,-0.13029146,0.218001345,0.335349653,0.48219306,0.543197128,1.980228802,0.255294675
C1=Cc2cccc3cccc1c23,-14.53395464,-12.68463102,-12.36868874,-11.85728723,-11.69049623,-11.53238177,-10.47696729,-10.08299861,-9.754701172,-0.530757443,-0.524296891,-0.435984315,-0.073201207,1.851396295,3.563273346,3.820030649,4.142345276,4.178885243,0.006460552
c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,-14.55030447,-12.74562406,-12.39720263,-12.30117267,-11.438362,-11.17397184,-11.04761257,-10.15721042,-9.844564574,-0.569675098,-0.505374605,-0.49328404,-0.214929092,1.786437987,3.605902695,3.774244523,4.044330848,4.21338929,0.064300493
O=C1C=Cc2ccc3C(=O)C=Cc4ccc1c2c34,-14.65924818,-12.95778959,-12.93523279,-12.05833238,-11.97824801,-11.26745506,-10.993635,-10.05748347,-9.564916046,-0.441338709,-0.387081837,0.468643541,0.94662144,1.906994521,3.567363559,3.859043853,4.118601463,4.230389581,0.054256872
c1cc2ccc3cccc4ccc(c1)c2c34,-14.8217395,-13.4812927,-13.45063632,-12.76935317,-11.57728958,-11.23113559,-10.47560756,-10.12934332,-9.837784303,-1.205572685,-0.7692319,0.181582651,1.29917718,2.291187852,2.571457446,3.109355305,3.233358935,3.417491998,0.436340785
Cc1cccc2cccc(C)c12,-14.71385417,-14.68245178,-14.00798565,-12.53641318,-12.49286142,-11.80148688,-11.03586745,-10.09997317,-9.568954809,-0.094302735,-0.067835789,0.902959432,2.243832525,3.984991529,4.093861741,4.540117525,4.632821659,4.83144135,0.026466946
